latitude,longitude,date,type
-37.712,145.0588,2024-01-01,STREET_HARASSMENT
-37.7348,145.0873,2024-01-02,STREET_HARASSMENT
-37.7267,145.0802,2024-01-04,STREET_HARASSMENT
-37.7572,145.0857,2024-01-05,THEFT
-37.6976,145.0421,2024-01-07,VANDALISM
-37.7518,145.0404,2024-01-08,UNWANTED_PHYSICAL_CONTACT
-37.7451,145.0903,2024-01-09,STREET_HARASSMENT
-37.7514,145.0712,2024-01-10,STREET_HARASSMENT
-37.7119,145.0464,2024-01-10,UNWANTED_PHYSICAL_CONTACT
-37.7256,145.0842,2024-01-11,ASSAULT
-37.706,145.084,2024-01-11,ASSAULT
-37.7395,145.0694,2024-01-11,UNWANTED_PHYSICAL_CONTACT
-37.71,145.0554,2024-01-11,UNWANTED_PHYSICAL_CONTACT
-37.7607,145.0619,2024-01-12,UNWANTED_PHYSICAL_CONTACT
-37.7367,145.062,2024-01-12,STREET_HARASSMENT
-37.6966,145.0815,2024-01-13,ASSAULT
-37.7541,145.0579,2024-01-13,THEFT
-37.7197,145.0492,2024-01-13,UNWANTED_PHYSICAL_CONTACT
-37.7543,145.0823,2024-01-13,THEFT
-37.7069,145.0722,2024-01-14,ASSAULT
-37.7018,145.0939,2024-01-14,ASSAULT
-37.7462,145.0509,2024-01-16,STREET_HARASSMENT
-37.7312,145.0703,2024-01-17,UNWANTED_PHYSICAL_CONTACT
-37.7424,145.0933,2024-01-18,UNWANTED_PHYSICAL_CONTACT
-37.7407,145.0885,2024-01-19,ASSAULT
-37.7063,145.0571,2024-01-21,UNWANTED_PHYSICAL_CONTACT
-37.7553,145.0769,2024-01-22,UNWANTED_PHYSICAL_CONTACT
-37.7144,145.095,2024-01-23,STREET_HARASSMENT
-37.7634,145.0639,2024-01-23,ASSAULT
-37.7247,145.0562,2024-01-26,STREET_HARASSMENT
-37.7007,145.0996,2024-01-26,UNWANTED_PHYSICAL_CONTACT
-37.7461,145.0604,2024-01-28,ROBBERY
-37.7042,145.065,2024-01-29,SEXUAL_ASSAULT
-37.7518,145.0695,2024-01-29,VANDALISM
-37.7009,145.0638,2024-01-30,THEFT
-37.6998,145.0565,2024-01-30,SEXUAL_ASSAULT
-37.7313,145.0955,2024-01-30,UNWANTED_PHYSICAL_CONTACT
-37.7412,145.0978,2024-01-31,SEXUAL_ASSAULT
-37.7417,145.077,2024-01-31,UNWANTED_PHYSICAL_CONTACT
-37.7139,145.0936,2024-02-01,ASSAULT
-37.7168,145.0751,2024-02-01,ASSAULT
-37.741,145.0522,2024-02-01,ASSAULT
-37.7096,145.0456,2024-02-02,UNWANTED_PHYSICAL_CONTACT
-37.7582,145.0862,2024-02-03,ROBBERY
-37.7569,145.0407,2024-02-03,UNWANTED_PHYSICAL_CONTACT
-37.7416,145.096,2024-02-03,SEXUAL_ASSAULT
-37.741,145.0553,2024-02-05,STREET_HARASSMENT
-37.7435,145.0496,2024-02-06,STREET_HARASSMENT
-37.7143,145.0918,2024-02-06,ROBBERY
-37.7073,145.0517,2024-02-07,ROBBERY
-37.6969,145.053,2024-02-11,UNWANTED_PHYSICAL_CONTACT
-37.767,145.0437,2024-02-12,ASSAULT
-37.7524,145.0628,2024-02-12,STREET_HARASSMENT
-37.7062,145.0631,2024-02-12,ROBBERY
-37.6973,145.052,2024-02-13,STREET_HARASSMENT
-37.7202,145.0883,2024-02-14,ROBBERY
-37.7146,145.0826,2024-02-14,UNWANTED_PHYSICAL_CONTACT
-37.7398,145.0436,2024-02-14,VANDALISM
-37.7318,145.0489,2024-02-16,THEFT
-37.7078,145.0802,2024-02-16,VANDALISM
-37.7227,145.0545,2024-02-16,UNWANTED_PHYSICAL_CONTACT
-37.7292,145.0996,2024-02-16,SUSPICIOUS_ACTIVITY
-37.7235,145.0735,2024-02-18,ASSAULT
-37.7279,145.0425,2024-02-18,SEXUAL_ASSAULT
-37.713,145.0731,2024-02-19,STREET_HARASSMENT
-37.7303,145.0485,2024-02-20,UNWANTED_PHYSICAL_CONTACT
-37.7621,145.0744,2024-02-20,STREET_HARASSMENT
-37.7104,145.0752,2024-02-24,ASSAULT
-37.7139,145.0689,2024-02-24,ASSAULT
-37.7554,145.0656,2024-02-25,SEXUAL_ASSAULT
-37.6954,145.0481,2024-02-27,SEXUAL_ASSAULT
-37.7098,145.0864,2024-02-27,SUSPICIOUS_ACTIVITY
-37.7576,145.0814,2024-02-28,STREET_HARASSMENT
-37.6995,145.0584,2024-02-28,STREET_HARASSMENT
-37.7509,145.0703,2024-02-29,VANDALISM
-37.7053,145.074,2024-03-06,ROBBERY
-37.7144,145.0866,2024-03-07,VANDALISM
-37.7472,145.0694,2024-03-07,THEFT
-37.7203,145.0528,2024-03-08,ROBBERY
-37.7417,145.0902,2024-03-09,ROBBERY
-37.7502,145.0612,2024-03-09,UNWANTED_PHYSICAL_CONTACT
-37.7058,145.0702,2024-03-10,SEXUAL_ASSAULT
-37.7048,145.0874,2024-03-10,ROBBERY
-37.7516,145.0499,2024-03-11,THEFT
-37.7686,145.0617,2024-03-12,ASSAULT
-37.7158,145.0731,2024-03-12,SEXUAL_ASSAULT
-37.7436,145.099,2024-03-12,UNWANTED_PHYSICAL_CONTACT
-37.7395,145.0578,2024-03-13,SEXUAL_ASSAULT
-37.7114,145.0489,2024-03-14,STREET_HARASSMENT
-37.7052,145.0592,2024-03-14,ASSAULT
-37.7082,145.0881,2024-03-15,ROBBERY
-37.7349,145.0974,2024-03-16,UNWANTED_PHYSICAL_CONTACT
-37.7335,145.0988,2024-03-16,UNWANTED_PHYSICAL_CONTACT
-37.7656,145.0668,2024-03-19,UNWANTED_PHYSICAL_CONTACT
-37.7649,145.0642,2024-03-19,VANDALISM
-37.7208,145.0752,2024-03-20,THEFT
-37.7391,145.0749,2024-03-20,STREET_HARASSMENT
-37.6959,145.0663,2024-03-21,UNWANTED_PHYSICAL_CONTACT
-37.7163,145.0559,2024-03-23,STREET_HARASSMENT
-37.7133,145.0571,2024-03-23,UNWANTED_PHYSICAL_CONTACT
