suburb,latitude,longitude,date,type,description
Thornbury,-37.745532,144.998152,2006-03-14,UNWANTED_PHYSICAL_CONTACT,"Coming back from a night out, a passerby pushed past me aggressively in a poorly lit laneway. I tried to ignore them."
Flemington,-37.776605,144.93845,2006-03-15,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, a couple arguing loudly was filming me without consent underneath a railway bridge. I took a photo from a distance."
Abbotsford,-37.808846,145.004561,2006-03-16,STREET_HARASSMENT,"Broad daylight, near the shops, a woman in a reflective vest tried to engage in unwanted conversation outside a residential building. I called the police later."
Camberwell,-37.842641,145.067188,2006-03-16,STREET_HARASSMENT,"Broad daylight, near the shops, a person acting erratically blocked my path while catcalling at a crowded intersection. I kept my head down and ran."
Coburg,-37.751579,144.967299,2006-03-17,SEXUAL_ASSAULT,"Broad daylight, near the shops, a lone person cornered me in a secluded spot outside a 24-hour gym. I reported it to a nearby officer."
Camberwell,-37.833188,145.06932,2006-03-17,SEXUAL_ASSAULT,"Coming home from the night shift, a passerby exposed themselves in public by the public restrooms. I'm shaken but okay."
Flemington,-37.793733,144.938487,2006-03-17,SEXUAL_ASSAULT,"Just after leaving the station, two men pinned me against a wall briefly outside a supermarket. I quickly ducked into a shop."
St Kilda,-37.869191,144.993663,2006-03-18,SEXUAL_ASSAULT,"Broad daylight, near the shops, a delivery driver engaged in non-consensual touching outside a 7-Eleven. I tried to ignore them."
Brunswick,-37.758105,144.955194,2006-03-19,UNWANTED_PHYSICAL_CONTACT,"Returning books to the library, two men tried to pull my bag near the ticket barriers. I reported it via a safety app."
Collingwood,-37.802893,144.978909,2006-03-19,STREET_HARASSMENT,"Walking to my car, a stranger wearing a hoodie made inappropriate jokes outside a popular cafe. Thankfully, a bystander helped."
Camberwell,-37.844084,145.056191,2006-03-19,STREET_HARASSMENT,"Meeting friends for drinks, a stranger asking for directions persistently asked for my number along the bike path by the creek. I felt extremely intimidated."
Coburg,-37.733245,144.961145,2006-03-19,STREET_HARASSMENT,"Broad daylight, near the shops, someone on an e-scooter shouted offensive slurs outside a popular cafe. I took a photo from a distance."
St Kilda,-37.869243,144.987546,2006-03-20,STREET_HARASSMENT,"Waiting for a rideshare to arrive, a woman in a reflective vest blocked my path while catcalling outside a 24-hour gym. I was left feeling vulnerable."
Camberwell,-37.837829,145.060096,2006-03-20,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, a cyclist who stopped suddenly pushed past me aggressively near a historic monument. I managed to run away."
Port Melbourne,-37.830139,144.941186,2006-03-21,SEXUAL_ASSAULT,"While walking home, a person with their hood up exposed themselves in public outside a 24-hour gym. I reported it to a nearby officer."
Melbourne CBD,-37.805064,144.956906,2006-03-22,STREET_HARASSMENT,"Returning books to the library, a couple arguing loudly mimicked my movements mocking me outside a residential building. I felt extremely intimidated."
South Yarra,-37.828535,145.000235,2006-03-22,SEXUAL_ASSAULT,"Broad daylight, near the shops, an aggressive individual groped me in the middle of the crowd beside a row of parked cars. I called a friend immediately."
Docklands,-37.814805,144.950825,2006-03-23,SEXUAL_ASSAULT,"Coming home from the night shift, a group of teenagers forced an unwanted physical encounter along the Yarra River walk. I shouted at them to leave me alone."
Docklands,-37.822758,144.941761,2006-03-23,SEXUAL_ASSAULT,"On a quiet side street, someone sitting on a park bench pinned me against a wall briefly near a bus shelter. I felt my heart racing."
Abbotsford,-37.80691,145.010782,2006-03-23,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, a cyclist who stopped suddenly reached out to touch me inappropriately along the bike path by the creek. I felt very unsafe."
