suburb,latitude,longitude,date,type,description
Melton,-37.676026,144.565274,2021-03-13,STREET_HARASSMENT,"Passing by a construction site, a passerby shouted offensive slurs outside a 24-hour gym. I tried to ignore them."
Whittlesea,-37.529056,145.132167,2021-03-13,STREET_HARASSMENT,"Walking the dog around the block, a delivery driver shouted derogatory remarks at a crowded intersection. I'm shaken but okay."
Belgrave,-37.92211,145.373682,2021-03-13,SEXUAL_ASSAULT,"While waiting for the tram, a lone person tried to pull me toward a darker area along the main road. I reported it to a nearby officer."
Cheltenham,-37.971254,145.058404,2021-03-15,SEXUAL_ASSAULT,"While waiting for the tram, a middle-aged man violated personal space aggressively near a bicycle path. I won't be walking that way again."
St Albans,-37.743321,144.808914,2021-03-15,UNWANTED_PHYSICAL_CONTACT,"Taking a shortcut through a park, a person who seemed to be following me grabbed my hand and wouldn't let go near a bicycle path. No one intervened."
Box Hill,-37.81253,145.139603,2021-03-16,UNWANTED_PHYSICAL_CONTACT,"Checking my phone at the bus stop, a passerby brushed against me multiple times near the station entrance. I'm shaken but okay."
Pakenham,-38.056809,145.480296,2021-03-18,SEXUAL_ASSAULT,"Just as the sun was setting, a group of individuals committed a physical assault outside a local pub. Thankfully, a bystander helped."
Craigieburn,-37.585386,144.923167,2021-03-18,STREET_HARASSMENT,"Browsing the shops on a busy Saturday, an individual who appeared intoxicated made persistent unwanted comments near the entrance of a shopping centre. They eventually walked off."
Richmond,-37.821472,144.981177,2021-03-19,STREET_HARASSMENT,"Walking to my car, a delivery driver followed me for several blocks along the main road. I called a friend immediately."
St Kilda,-37.868695,144.96901,2021-03-20,SEXUAL_ASSAULT,"Enjoying a coffee on the sidewalk, a delivery driver committed a physical assault along the main road. I tried to ignore them."
Healesville,-37.654556,145.514622,2021-03-21,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, two men shouted derogatory remarks outside a 24-hour gym. I won't be walking that way again."
St Albans,-37.7278,144.777794,2021-03-21,STREET_HARASSMENT,"Just as the sun was setting, a middle-aged man made persistent unwanted comments in a poorly lit laneway. No one intervened."
Carlton,-37.782969,144.978664,2021-03-21,STREET_HARASSMENT,"Broad daylight, near the shops, someone on an e-scooter shouted derogatory remarks in a poorly lit laneway. I eventually lost them in the crowd."
Werribee,-37.908781,144.66237,2021-03-23,STREET_HARASSMENT,"Checking my phone at the bus stop, a lone person shouted derogatory remarks outside a 24-hour gym. They eventually walked off."
Frankston,-38.159487,145.134108,2021-03-23,STREET_HARASSMENT,"Broad daylight, near the shops, a passerby engaged in intimidating verbal behavior in the underground parking lot. They eventually walked off."
Broadmeadows,-37.655534,144.940721,2021-03-24,STREET_HARASSMENT,"Exploring the local market, a delivery driver blocked my path while catcalling at a crowded intersection. I tried to ignore them."
Ringwood,-37.823913,145.224118,2021-03-24,SEXUAL_ASSAULT,"Around midnight, a cyclist who stopped suddenly tried to pull me toward a darker area near the station entrance. I'm shaken but okay."
Cranbourne,-38.081153,145.289384,2021-03-28,SEXUAL_ASSAULT,"Coming home from the night shift, a cyclist who stopped suddenly groped me in the middle of the crowd outside a local pub. I called a friend immediately."
Tarneit,-37.786192,144.656348,2021-03-29,STREET_HARASSMENT,"Enjoying a coffee on the sidewalk, a middle-aged man shouted derogatory remarks outside a 24-hour gym. They eventually walked off."
Point Cook,-37.939652,144.761176,2021-03-29,SEXUAL_ASSAULT,"Walking the dog around the block, a cyclist who stopped suddenly tried to pull me toward a darker area at a crowded intersection. Thankfully, a bystander helped."
Epping,-37.653479,145.044694,2021-03-29,SEXUAL_ASSAULT,"Just as the sun was setting, a delivery driver violated personal space aggressively outside a 7-Eleven. I'm shaken but okay."
Coburg,-37.751933,144.942017,2021-03-31,SEXUAL_ASSAULT,"During the evening rush, a person who seemed to be following me engaged in non-consensual touching near the edge of the bushland. I tried to ignore them."
Cranbourne,-38.116808,145.28525,2021-03-31,UNWANTED_PHYSICAL_CONTACT,"Around midnight, a delivery driver intentionally bumped into me near a bicycle path. I eventually lost them in the crowd."
Epping,-37.647208,145.024585,2021-03-31,SEXUAL_ASSAULT,"Browsing the shops on a busy Saturday, a lone person exposed themselves in public near the entrance of a shopping centre. I managed to run away."
Pakenham,-38.092652,145.488229,2021-04-04,UNWANTED_PHYSICAL_CONTACT,"Coming home from the night shift, a delivery driver attempted to snatch my phone along the main road. I quickly ducked into a shop."
Cranbourne,-38.096078,145.269077,2021-04-05,UNWANTED_PHYSICAL_CONTACT,"While waiting for the tram, two men brushed against me multiple times near the ticket barriers. I felt very unsafe."
Broadmeadows,-37.699004,144.916905,2021-04-05,SEXUAL_ASSAULT,"Browsing the shops on a busy Saturday, an aggressive individual tried to pull me toward a darker area along the main road. I reported it via a safety app."
Cheltenham,-37.955514,145.075672,2021-04-05,STREET_HARASSMENT,"Coming back from a night out, a delivery driver engaged in intimidating verbal behavior in the middle of the park. I managed to run away."
Richmond,-37.830109,145.005379,2021-04-05,UNWANTED_PHYSICAL_CONTACT,"Enjoying a coffee on the sidewalk, a passerby attempted to snatch my phone outside a supermarket. I reported it to a nearby officer."
Werribee,-37.914072,144.643976,2021-04-06,SEXUAL_ASSAULT,"After finishing dinner at a restaurant, a person acting erratically exposed themselves in public near a bicycle path. I reported it to a nearby officer."
